input, magic
3.708683e-07, 0x5F326F2A
9.947706e-27, 0x5F3443B7
1.978220e-14, 0x5F317F56
1.216192e-35, 0x5F413F53
1.578261e-20, 0x5F3759DF
1.380638e-27, 0x5F3009AC
2.453496e-16, 0x5F3B4B5D
4.305415e-06, 0x5F3843B1
9.113294e-12, 0x5F324AD3
6.580995e-05, 0x5F3759DF
1.347626e-15, 0x5F30CA3A
2.304929e-37, 0x5F3759DF
6.518588e-15, 0x5F322144
1.245136e-02, 0x5F351987
1.322370e-11, 0x5F391B23
9.789556e-25, 0x5F3759DF
8.404164e-03, 0x5F358C34
1.192430e-10, 0x5F333AF9
4.764175e-03, 0x5F3759DF
1.781197e-14, 0x5F344FD5
3.427441e-36, 0x5F3980FF
5.319941e-19, 0x5F332347
4.620290e-32, 0x5F3B9C00
1.120820e-31, 0x5F3733C4
3.250975e-23, 0x5F2F11D2
9.319787e-28, 0x5F3759DF
1.741986e-08, 0x5F3759DF
2.352399e-08, 0x5F2FF728
8.772699e-24, 0x5F33A686
3.797017e-36, 0x5F359F4E
1.295776e-14, 0x5F399DB5
4.970085e-17, 0x5F395F7D
2.440177e-38, 0x5F372CC8
4.869109e-03, 0x5F34B92B
1.480671e-08, 0x5F38CE7E
4.576292e-35, 0x5F3E46A3
2.410763e-23, 0x5F343803
2.294668e-15, 0x5F3156CE
2.173118e-19, 0x5F3F9F37
6.316830e-12, 0x5F32CC64
9.002896e-05, 0x5F31D24A
1.246096e-06, 0x5F340CDE
4.154336e-30, 0x5F33582A
6.527957e-09, 0x5F31C2D7
4.482935e-11, 0x5F3487DD
9.767355e-31, 0x5F3759DF
1.255932e-17, 0x5F3B9B33
1.293289e-09, 0x5F2FDC66
1.897368e-26, 0x5F2E2684
8.081769e-35, 0x5F32A3A5
1.554744e-13, 0x5F3206FB
1.517746e-19, 0x5F334641
6.945436e-33, 0x5F31BF88
2.010268e-11, 0x5F325C67
2.327679e-23, 0x5F31D17E
4.360908e-31, 0x5F335E73
1.512490e-09, 0x5F2F8A71
8.538427e-37, 0x5F38F275
9.256667e-37, 0x5F34642C
1.942951e-22, 0x5F3B8919
6.262375e-17, 0x5F386158
1.190782e-06, 0x5F330818
2.882049e-37, 0x5F2F15E7
1.270403e-25, 0x5F2ED699
6.419268e-09, 0x5F322042
2.830810e-25, 0x5F32CED1
7.823024e-37, 0x5F3DE67C
5.177623e-31, 0x5F3759DF
1.007999e-35, 0x5F3759DF
2.758746e-28, 0x5F32B009
8.449833e-21, 0x5F340944
3.321421e-32, 0x5F32BA33
1.188403e-31, 0x5F3284FB
3.484484e-27, 0x5F3B92A5
2.200964e-23, 0x5F33D78E
2.722308e-11, 0x5F310532
2.985954e-10, 0x5F33FDA6
9.114689e-32, 0x5F33168A
1.089220e-27, 0x5F30BB2B
2.333478e-19, 0x5F3CFF65
4.151444e-12, 0x5F3759DF
1.615702e-04, 0x5F35062C
1.778155e-31, 0x5F3864CA
8.804068e-30, 0x5F32E2FE
2.362704e-05, 0x5F3314CF
2.818217e-27, 0x5F3759DF
9.112803e-22, 0x5F392258
3.423712e-31, 0x5F302DF0
5.268559e-01, 0x5F32316F
9.229643e-19, 0x5F3DADC3
3.984768e-33, 0x5F339A45
2.011197e-04, 0x5F366F59
2.108200e-28, 0x5F403AE3
4.631564e-16, 0x5F341CA3
1.136392e-29, 0x5F38AB0C
6.138964e-03, 0x5F32E5EE
5.574809e-29, 0x5F39BE4A
1.088273e-33, 0x5F32C725
6.974630e-01, 0x5F321315
2.487266e-04, 0x5F3D7D7A
5.633016e-26, 0x5F3BE96E
1.766831e-05, 0x5F386BB4
1.241033e-29, 0x5F3C4E04
5.066788e-28, 0x5F314D82
4.154850e-33, 0x5F32D7B3
6.420325e-18, 0x5F343205
2.439041e-26, 0x5F32AA15
1.293893e-27, 0x5F3075F9
1.370345e-15, 0x5F3214D5
3.121618e-13, 0x5F327ACB
3.982198e-37, 0x5F333305
8.793616e-06, 0x5F31E0C2
1.566821e-34, 0x5F358888
1.406399e-05, 0x5F3B0D20
3.286699e-06, 0x5F3759DF
5.448055e-09, 0x5F324A7F
1.971348e-04, 0x5F3443E6
1.531745e-38, 0x5F334918
3.126717e-02, 0x5F351790
1.142455e-35, 0x5F3C1A82
1.055318e-21, 0x5F354D86
3.476275e-06, 0x5F3AA6E8
1.549014e-10, 0x5F3135C1
1.210653e-16, 0x5F33A9FD
3.118791e-25, 0x5F317F9A
5.732588e-18, 0x5F313223
3.764530e-10, 0x5F318736
1.287618e-37, 0x5F335312
3.053319e-22, 0x5F32B932
2.122812e-12, 0x5F2F00F6
4.140216e-19, 0x5F3308C3
1.155363e-11, 0x5F35B8BA
1.922229e-05, 0x5F36EC20
