input, method, guess, after_one, final, iters
2.739130e-02,withoutDiv,6.300564e+00,6.025369e+00,6.042110e+00,2
2.739130e-02,optimal_grid,5.493910e+00,6.042859e+00,6.042859e+00,1
2.739130e-02,Moroz,6.225484e+00,6.039226e+00,6.047488e+00,95
7.941956e-02,Blinn,3.729287e+00,3.546064e+00,3.548286e+00,2
7.941956e-02,QuakeIII,3.594147e+00,3.547543e+00,3.547543e+00,1
7.941956e-02,withoutDiv,3.632612e+00,3.545411e+00,3.548426e+00,2
7.941956e-02,optimal_grid,3.229285e+00,3.548642e+00,3.548642e+00,1
7.941956e-02,Moroz,3.595073e+00,3.550666e+00,3.551548e+00,95
8.617911e-03,Blinn,1.158763e+01,1.073174e+01,1.077191e+01,3
8.617911e-03,QuakeIII,1.104707e+01,1.076144e+01,1.077205e+01,2
8.617911e-03,withoutDiv,1.120093e+01,1.074611e+01,1.077197e+01,2
8.617911e-03,optimal_grid,9.587623e+00,1.077895e+01,1.060211e+01,95
8.617911e-03,Moroz,1.105077e+01,1.077087e+01,1.077087e+01,1
1.336807e-01,Blinn,2.930554e+00,2.726609e+00,2.734509e+00,2
1.336807e-01,QuakeIII,2.795414e+00,2.733039e+00,2.735050e+00,2
1.336807e-01,withoutDiv,2.833879e+00,2.729631e+00,2.735036e+00,2
1.336807e-01,optimal_grid,2.430552e+00,2.736757e+00,2.736757e+00,1
1.336807e-01,Moroz,2.796340e+00,2.735434e+00,2.735434e+00,1
1.548016e-02,Blinn,8.074157e+00,8.039310e+00,8.037456e+00,2
1.548016e-02,QuakeIII,7.766799e+00,8.023832e+00,8.037304e+00,2
1.548016e-02,withoutDiv,7.843729e+00,8.030398e+00,8.037330e+00,2
1.548016e-02,optimal_grid,7.037075e+00,8.038278e+00,8.038278e+00,1
1.548016e-02,Moroz,7.768650e+00,8.030843e+00,8.044399e+00,95
1.780097e-02,Blinn,7.721476e+00,7.498958e+00,7.495340e+00,2
1.780097e-02,QuakeIII,7.451196e+00,7.494727e+00,7.494727e+00,1
1.780097e-02,withoutDiv,7.528126e+00,7.494894e+00,7.494894e+00,1
1.780097e-02,optimal_grid,6.721472e+00,7.499715e+00,7.376857e+00,95
1.780097e-02,Moroz,7.453047e+00,7.501309e+00,7.501697e+00,95
8.229600e-02,Blinn,3.683264e+00,3.481651e+00,3.485605e+00,2
8.229600e-02,QuakeIII,3.548124e+00,3.484188e+00,3.484188e+00,1
8.229600e-02,withoutDiv,3.586589e+00,3.481458e+00,3.485857e+00,2
8.229600e-02,optimal_grid,3.183262e+00,3.485276e+00,3.485276e+00,1
8.229600e-02,Moroz,3.549050e+00,3.487257e+00,3.487257e+00,1
5.475342e-02,Blinn,4.495781e+00,4.270368e+00,4.273408e+00,2
5.475342e-02,QuakeIII,4.225502e+00,4.272796e+00,4.272796e+00,1
5.475342e-02,withoutDiv,4.302432e+00,4.273313e+00,4.273313e+00,1
5.475342e-02,optimal_grid,3.747889e+00,4.274476e+00,4.274476e+00,1
5.475342e-02,Moroz,4.227353e+00,4.276572e+00,4.277359e+00,95
4.184944e-02,Blinn,5.321636e+00,4.858500e+00,4.888146e+00,3
4.184944e-02,QuakeIII,5.051357e+00,4.880018e+00,4.888249e+00,2
4.184944e-02,withoutDiv,5.128287e+00,4.870303e+00,4.888171e+00,2
4.184944e-02,optimal_grid,4.321633e+00,4.890809e+00,4.811145e+00,95
4.184944e-02,Moroz,5.053207e+00,4.884269e+00,4.892564e+00,95
1.237509e-02,Blinn,9.663952e+00,8.956596e+00,8.989169e+00,3
1.237509e-02,QuakeIII,9.123393e+00,8.986281e+00,8.989296e+00,2
1.237509e-02,withoutDiv,9.277253e+00,8.975313e+00,8.989264e+00,2
1.237509e-02,optimal_grid,7.831973e+00,8.987611e+00,8.987611e+00,1
1.237509e-02,Moroz,9.127094e+00,8.994134e+00,8.997194e+00,95
5.619997e-02,Blinn,4.403202e+00,4.217742e+00,4.217742e+00,1
5.619997e-02,QuakeIII,4.132923e+00,4.215675e+00,4.218245e+00,2
5.619997e-02,withoutDiv,4.209853e+00,4.218222e+00,4.218222e+00,1
5.619997e-02,optimal_grid,3.701599e+00,4.219234e+00,4.219234e+00,1
5.619997e-02,Moroz,4.134773e+00,4.219419e+00,4.219419e+00,1
2.041440e-01,Blinn,2.366848e+00,2.207095e+00,2.212862e+00,2
2.041440e-01,QuakeIII,2.231708e+00,2.213025e+00,2.213025e+00,1
2.041440e-01,withoutDiv,2.270173e+00,2.211042e+00,2.213253e+00,2
2.041440e-01,optimal_grid,1.933423e+00,2.213222e+00,2.213222e+00,1
2.041440e-01,Moroz,2.232634e+00,2.214963e+00,2.214963e+00,1
2.411181e-02,Blinn,6.913688e+00,6.418076e+00,6.438568e+00,2
2.411181e-02,QuakeIII,6.643408e+00,6.430248e+00,6.439966e+00,2
2.411181e-02,withoutDiv,6.720338e+00,6.421415e+00,6.439908e+00,2
2.411181e-02,optimal_grid,5.913684e+00,6.435983e+00,6.338381e+00,95
2.411181e-02,Moroz,6.645259e+00,6.435910e+00,6.445646e+00,95
1.836019e-02,Blinn,7.649895e+00,7.382196e+00,7.380211e+00,2
1.836019e-02,QuakeIII,7.379616e+00,7.380085e+00,7.379616e+00,0
1.836019e-02,withoutDiv,7.456546e+00,7.378893e+00,7.378893e+00,1
1.836019e-02,optimal_grid,6.649892e+00,7.383841e+00,7.263645e+00,95
1.836019e-02,Moroz,7.381466e+00,7.386573e+00,7.381466e+00,0
8.315244e-02,Blinn,3.669561e+00,3.463108e+00,3.467573e+00,2
8.315244e-02,QuakeIII,3.534421e+00,3.465940e+00,3.465940e+00,1
