input,reference,initial,after_one,final,iters,magic
0.118392,2.906292,2.971035,2.904113,2.906290,2,0x5F376120
1.010411,0.994835,0.963723,0.993391,0.994832,2,0x5F376121
0.549363,1.349181,1.383289,1.347877,1.349179,2,0x5F376122
0.059266,4.107688,3.968794,4.100723,4.107670,2,0x5F376123
0.201442,2.228052,2.253770,2.227604,2.228051,2,0x5F376124
0.719400,1.179003,1.213253,1.177496,1.179000,2,0x5F376125
1.327847,0.867813,0.884364,0.867336,0.867812,2,0x5F376126
0.733421,1.167679,1.199232,1.166388,1.167677,2,0x5F376127
1.366868,0.855336,0.874609,0.854680,0.855335,2,0x5F376128
0.893114,1.058148,1.039539,1.057660,1.058148,2,0x5F376129
0.032448,5.551447,5.653941,5.548592,5.551445,2,0x5F37612A
0.034690,5.369064,5.510459,5.363430,5.369056,2,0x5F37612B
0.033887,5.432308,5.561854,5.427638,5.432302,2,0x5F37612C
0.145714,2.619689,2.699596,2.615996,2.619681,2,0x5F37612D
1.818141,0.741628,0.761791,0.740798,0.741627,2,0x5F37612E
0.677111,1.215263,1.255543,1.213238,1.215258,2,0x5F37612F
0.042767,4.835521,4.993497,4.827695,4.835502,2,0x5F376130
1.750200,0.755886,0.778777,0.754835,0.755883,2,0x5F376131
0.993204,1.003416,0.969725,1.001738,1.003411,2,0x5F376132
0.097401,3.204191,3.306892,3.199200,3.204179,2,0x5F376133
0.055146,4.258348,4.201242,4.257205,4.258348,2,0x5F376134
0.113289,2.971026,3.052687,2.967628,2.971020,2,0x5F376135
0.817901,1.105732,1.114754,1.105621,1.105621,1,0x5F376136
0.237424,2.052287,1.982960,2.048813,2.052278,2,0x5F376137
1.390069,0.848168,0.868810,0.847408,0.848167,2,0x5F376138
0.970359,1.015158,0.981148,1.013468,1.015154,2,0x5F376139
0.083557,3.459467,3.528401,3.457393,3.459466,2,0x5F37613A
0.342031,1.709886,1.748592,1.708561,1.709884,2,0x5F37613B
0.068481,3.821334,3.769614,3.820288,3.821333,2,0x5F37613C
0.243523,2.026423,1.958564,2.023053,2.026415,2,0x5F37613D
0.176576,2.379764,2.452700,2.376376,2.379756,2,0x5F37613E
0.124635,2.832568,2.871154,2.831776,2.832568,2,0x5F37613F
0.259503,1.963039,1.913650,1.961191,1.963037,2,0x5F376140
0.093610,3.268433,3.367556,3.263878,3.268423,2,0x5F376141
0.556096,1.340989,1.376559,1.339561,1.340986,2,0x5F376142
0.153724,2.550525,2.635522,2.546229,2.550514,2,0x5F376143
0.082644,3.478525,3.543013,3.476721,3.478524,2,0x5F376144
